,Unnamed: 0,sub,source_column,index,reappraised_text,onset,offset,event_num,event_label,onsetSEC,offsetSEC,duration
0,0,1,Q1_1.1,2,"Oh, my God. The shift won't end. Deborah never showed up. I can't reach Mr. Haney, so  I have to work all of it.,",2.3599999999999985,10.18,1,conversation_bf,2,10,8
18,18,1,Q1_1.1,3,"And there's a dog loose in the mall. Do you hear that?  Hold on, I’ll hold up the phone.,",10.64,14.94,1,dog,10,14,4
38,38,1,Q1_1.1,4,"Poor thing. He looks hungry. No, no. Dogs aren't allowed in  the mall unless it's a seeing eye dog.,",16.28,21.08,1,dog,16,21,5
53,53,1,Q1_1.1,5,"I called security, but they haven't. No, no. You're terrible.,",22.04,28.3,1,conversation_bf,22,28,6
68,68,1,Q1_1.1,6,"Oh, I cannot wait to watch the game with you tonight. No, I know we're gonna win. No, I know it. I can make us those Frito chili nachos you like. Yeah, I know you like that.,",29.44,41.38,1,conversation_bf,29,41,12
77,77,1,Q1_1.1,7,"Oh, I gotta go. Customer. I love you. No, I love you more. No, I love you more.,",42.28,48.32,1,conversation_bf,42,48,6
84,84,1,Q1_1.1,9,"How can I help you today? Do you have an appointment with us, or are you just browsing?,",58.74,62.58,2,regular_convo,58,62,4
85,85,1,Q1_1.1,11,"Browsing?,",64.64,65.08,2,regular_convo,64,65,1
92,92,1,Q1_1.1,13,"You're in luck. We've extended our frequently formal club Signup bonus to the end of today.  You get 10% off your purchase. Except sale items.,",65.22,72.26,2,regular_convo,65,72,7
93,93,1,Q1_1.1,15,"I'm just gonna sit down.,",72.32,73.84,2,regular_convo,72,73,1
98,98,1,Q1_1.1,24,"My daughter,",90.44,91.2,2,regular_convo,90,91,1
103,103,1,Q1_1.1,26,"And she'll be joining us today I take it.,",91.54,93.54,2,regular_convo,91,93,2
104,104,1,Q1_1.1,28,"Yes, she's just. She is uh,",94.2,96.02,2,regular_convo,94,96,2
114,114,1,Q1_1.1,33,"Lucy, I would love some water.,",106.98,110.16,3,food_court,106,110,4
131,131,1,Q1_1.1,38,"The food court? You mean that pile of-,",118.5,120.76,3,food_court,118,120,2
161,161,1,Q1_1.1,41,"they’re remodeling part of it.,",120.88,121.9,3,food_court,120,121,1
176,176,1,Q1_1.1,42,"You'll have to pardon our dust, but just beyond that Sunglass kiosk-,",122.06,124.98,3,food_court,122,124,2
184,184,1,Q1_1.1,44,"Sunglass kiosk… Don't you have some water and snacks here in the store?,",125.28,129.64,3,food_court,125,129,4
212,212,1,Q1_1.1,53,"I am very thirsty and cranky.,",156.42,159.18,3,food_court,156,159,3
221,221,1,Q1_1.1,57,"Those water fountains are not working.,",164.1,166.12,3,food_court,164,166,2
232,232,1,Q1_1.1,61,"Over past that rubble.,",169.6,170.66,3,food_court,169,170,1
248,248,1,Q1_1.1,63,"Yeah, they are remodeling. But Gino’s Pizzeria has these calzones-,",170.76,173.52,3,food_court,170,173,3
255,255,1,Q1_1.1,65,"Shut up. Shut up, you fucking robot. Shut up, you fucking worthless corporate drone.",173.54,178.72,4,calls_robot,173,178,5
286,286,1,Q2_1.1,4,"No, I'm sorry. I'm sorry, Lucy. It's been a crazy day. Like you said, shopping for a wedding dress…,",184.6,192.16,,,184,192,8
292,292,1,Q2_1.1,5,"I’ve been to all these locations. So much stress. My blood sugar just. I'm sorry. I'm sorry, Lucy.,",192.88,202.28,5,steve_skinny,192,202,10
308,308,1,Q2_1.1,17,"The wedding dress is for me.,",228.9,231.96,5,steve_skinny,228,231,3
315,315,1,Q2_1.1,19,"For you?,",232.66,232.92,5,steve_skinny,232,232,0
316,316,1,Q2_1.1,21,"Yes. Yes, I am the bride. I don't know if that's against your policy.,",233.12,237.9,5,steve_skinny,233,237,4
395,395,1,Q2_1.1,50,"I mean, it must be number one on the radio because that's all they play. Emergency.  They play it on a loop or something. I'm glad I like it or I would be miserable.,",306.52,316.52,6,emergency_song,306,316,10
426,426,1,Q2_1.1,53,"I don't know. He seems. I don't know, like he might be homeless or something. I mean, I hate to judge, but we're supposed to call if we see someone homeless.,",331.92,339.54,7,calls_security,331,339,8
440,440,1,Q2_1.1,57,"Also, have you had any luck finding that dog that's loose in the mall?,",354.28,356.88,7,calls_security,354,356,2
447,447,1,Q2_1.1,58,"Oh, my gosh. He’s stealing the water.",357.46,358.74,8,attack,357,358,1
455,455,1,Q3_1.1,4,"You drank all the water. You have energy bars in your pants, they are falling out of you.,",362.3,366.74,8,attack,362,366,4
502,502,1,Q3_1.1,26,"It's just, I’m so thirsty. And all of this is...you don't get it.,",410.26,416.1,9,resolution,410,416,6
515,515,1,Q3_1.1,28,"I get it. No I get it. I do. I get it. You know what? Here? Have a water.,",416.58,421.74,9,resolution,416,421,5
525,525,1,Q3_1.1,38,"Oh, my gosh. Thank you so much. Lucy, you're one of the good ones Lucy.,",436.82,446.26,9,resolution,436,446,10
536,536,1,Q3_1.1,40,"Thank you. I'm sorry I didn't earlier. They us this policy of how many minutes and how big an  order until we give out the water…,",446.56,453.94,9,resolution,446,453,7
539,539,1,Q3_1.1,42,"No, I get it. I understand you. You got to follow the policy.,",454.08,456.54,9,resolution,454,456,2
556,556,1,Q3_1.1,50,"Right, it’s policy. But what if they don't show up?,",470.68,478.88,10,resolution,470,478,8
573,573,1,Q3_1.1,54,"What if they don't? Would you make me stay here until I die of thirst and I'm rotting corpse on your nice bench.,",480.9,487.72,10,resolution,480,487,7
599,599,1,Q3_1.1,56,"It's so funny, I forgot to laugh. Weeks? No, people would notice if… it's not gonna be weeks. And I just gave you a water. Steve, how can you be thirsty?",487.72,497.06,10,resolution,487,497,10
1,1,2,Q1_1.1,2,"Oh, my God. The shift won't end. Deborah never showed up. I can't reach Mr. Haney, so  I have to work all of it.,",2.3599999999999985,10.18,1,conversation_bf,2,10,8
19,19,2,Q1_1.1,3,"And there's a dog loose in the mall. Do you hear that?  Hold on, I’ll hold up the phone.,",10.64,14.94,1,dog,10,14,4
39,39,2,Q1_1.1,4,"Poor thing. He looks hungry. No, no. Dogs aren't allowed in  the mall unless it's a seeing eye dog.,",16.28,21.08,1,dog,16,21,5
54,54,2,Q1_1.1,5,"I called security, but they haven't. No, no. You're terrible.,",22.04,28.3,1,conversation_bf,22,28,6
132,132,2,Q1_1.1,38,"The food court? You mean that pile of-,",118.5,120.76,3,food_court,118,120,2
233,233,2,Q1_1.1,61,"Over past that rubble.,",169.6,170.66,3,food_court,169,170,1
256,256,2,Q1_1.1,65,"Shut up. Shut up, you fucking robot. Shut up, you fucking worthless corporate drone.",173.54,178.72,4,calls_robot,173,178,5
321,321,2,Q2_1.1,32,"You are so thin. I'm so jealous. You look like a runner. Are you a runner?,",261.82,267.24,5,steve_skinny,261,267,6
341,341,2,Q2_1.1,34,"Well past six years or so.,",267.82,270.7,5,steve_skinny,267,270,3
379,379,2,Q2_1.1,46,"Oh, you're so sweet. I love this song.,",298.92,304.94,6,emergency_song,298,304,6
386,386,2,Q2_1.1,48,"What song?,",305.76,306.24,6,emergency_song,305,306,1
557,557,2,Q3_1.1,50,"Right, it’s policy. But what if they don't show up?,",470.68,478.88,10,resolution,470,478,8
574,574,2,Q3_1.1,54,"What if they don't? Would you make me stay here until I die of thirst and I'm rotting corpse on your nice bench.,",480.9,487.72,10,resolution,480,487,7
40,40,3,Q1_1.1,4,"Poor thing. He looks hungry. No, no. Dogs aren't allowed in  the mall unless it's a seeing eye dog.,",16.28,21.08,1,dog,16,21,5
82,82,3,Q1_1.1,8,"Hello. Welcome to Bridal Innovations. Don't worry. That gets knocked over all the time.,",52.16,57.84,2,regular_convo,52,57,5
105,105,3,Q1_1.1,28,"Yes, she's just. She is uh,",94.2,96.02,2,regular_convo,94,96,2
115,115,3,Q1_1.1,33,"Lucy, I would love some water.,",106.98,110.16,3,food_court,106,110,4
133,133,3,Q1_1.1,38,"The food court? You mean that pile of-,",118.5,120.76,3,food_court,118,120,2
185,185,3,Q1_1.1,44,"Sunglass kiosk… Don't you have some water and snacks here in the store?,",125.28,129.64,3,food_court,125,129,4
342,342,3,Q2_1.1,34,"Well past six years or so.,",267.82,270.7,5,steve_skinny,267,270,3
456,456,3,Q3_1.1,4,"You drank all the water. You have energy bars in your pants, they are falling out of you.,",362.3,366.74,8,attack,362,366,4
503,503,3,Q3_1.1,26,"It's just, I’m so thirsty. And all of this is...you don't get it.,",410.26,416.1,9,resolution,410,416,6
2,2,4,Q1_1.1,2,"Oh, my God. The shift won't end. Deborah never showed up. I can't reach Mr. Haney, so  I have to work all of it.,",2.3599999999999985,10.18,1,conversation_bf,2,10,8
234,234,4,Q1_1.1,61,"Over past that rubble.,",169.6,170.66,3,food_court,169,170,1
504,504,4,Q3_1.1,26,"It's just, I’m so thirsty. And all of this is...you don't get it.,",410.26,416.1,9,resolution,410,416,6
20,20,5,Q1_1.1,3,"And there's a dog loose in the mall. Do you hear that?  Hold on, I’ll hold up the phone.,",10.64,14.94,1,dog,10,14,4
55,55,5,Q1_1.1,5,"I called security, but they haven't. No, no. You're terrible.,",22.04,28.3,1,conversation_bf,22,28,6
94,94,5,Q1_1.1,15,"I'm just gonna sit down.,",72.32,73.84,2,regular_convo,72,73,1
106,106,5,Q1_1.1,28,"Yes, she's just. She is uh,",94.2,96.02,2,regular_convo,94,96,2
134,134,5,Q1_1.1,38,"The food court? You mean that pile of-,",118.5,120.76,3,food_court,118,120,2
257,257,5,Q1_1.1,65,"Shut up. Shut up, you fucking robot. Shut up, you fucking worthless corporate drone.",173.54,178.72,4,calls_robot,173,178,5
303,303,5,Q2_1.1,9,"Yes. Yes, she is on the way. Well, no, she's not on the way.,",212.22,217.94,5,steve_skinny,212,217,5
322,322,5,Q2_1.1,32,"You are so thin. I'm so jealous. You look like a runner. Are you a runner?,",261.82,267.24,5,steve_skinny,261,267,6
343,343,5,Q2_1.1,34,"Well past six years or so.,",267.82,270.7,5,steve_skinny,267,270,3
396,396,5,Q2_1.1,50,"I mean, it must be number one on the radio because that's all they play. Emergency.  They play it on a loop or something. I'm glad I like it or I would be miserable.,",306.52,316.52,6,emergency_song,306,316,10
427,427,5,Q2_1.1,53,"I don't know. He seems. I don't know, like he might be homeless or something. I mean, I hate to judge, but we're supposed to call if we see someone homeless.,",331.92,339.54,7,calls_security,331,339,8
477,477,5,Q3_1.1,18,"Nobody's walking by.,",385.84,386.7,8,attack,385,386,1
540,540,5,Q3_1.1,42,"No, I get it. I understand you. You got to follow the policy.,",454.08,456.54,9,resolution,454,456,2
162,162,6,Q1_1.1,41,"they’re remodeling part of it.,",120.88,121.9,3,food_court,120,121,1
258,258,6,Q1_1.1,65,"Shut up. Shut up, you fucking robot. Shut up, you fucking worthless corporate drone.",173.54,178.72,4,calls_robot,173,178,5
397,397,6,Q2_1.1,50,"I mean, it must be number one on the radio because that's all they play. Emergency.  They play it on a loop or something. I'm glad I like it or I would be miserable.,",306.52,316.52,6,emergency_song,306,316,10
259,259,7,Q1_1.1,65,"Shut up. Shut up, you fucking robot. Shut up, you fucking worthless corporate drone.",173.54,178.72,4,calls_robot,173,178,5
344,344,7,Q2_1.1,34,"Well past six years or so.,",267.82,270.7,5,steve_skinny,267,270,3
398,398,7,Q2_1.1,50,"I mean, it must be number one on the radio because that's all they play. Emergency.  They play it on a loop or something. I'm glad I like it or I would be miserable.,",306.52,316.52,6,emergency_song,306,316,10
3,3,8,Q1_1.1,2,"Oh, my God. The shift won't end. Deborah never showed up. I can't reach Mr. Haney, so  I have to work all of it.,",2.3599999999999985,10.18,1,conversation_bf,2,10,8
135,135,8,Q1_1.1,38,"The food court? You mean that pile of-,",118.5,120.76,3,food_court,118,120,2
163,163,8,Q1_1.1,41,"they’re remodeling part of it.,",120.88,121.9,3,food_court,120,121,1
177,177,8,Q1_1.1,42,"You'll have to pardon our dust, but just beyond that Sunglass kiosk-,",122.06,124.98,3,food_court,122,124,2
186,186,8,Q1_1.1,44,"Sunglass kiosk… Don't you have some water and snacks here in the store?,",125.28,129.64,3,food_court,125,129,4
235,235,8,Q1_1.1,61,"Over past that rubble.,",169.6,170.66,3,food_court,169,170,1
249,249,8,Q1_1.1,63,"Yeah, they are remodeling. But Gino’s Pizzeria has these calzones-,",170.76,173.52,3,food_court,170,173,3
260,260,8,Q1_1.1,65,"Shut up. Shut up, you fucking robot. Shut up, you fucking worthless corporate drone.",173.54,178.72,4,calls_robot,173,178,5
323,323,8,Q2_1.1,32,"You are so thin. I'm so jealous. You look like a runner. Are you a runner?,",261.82,267.24,5,steve_skinny,261,267,6
345,345,8,Q2_1.1,34,"Well past six years or so.,",267.82,270.7,5,steve_skinny,267,270,3
399,399,8,Q2_1.1,50,"I mean, it must be number one on the radio because that's all they play. Emergency.  They play it on a loop or something. I'm glad I like it or I would be miserable.,",306.52,316.52,6,emergency_song,306,316,10
478,478,8,Q3_1.1,18,"Nobody's walking by.,",385.84,386.7,8,attack,385,386,1
488,488,8,Q3_1.1,20,"Because the remodel. It cut the foot traffic. All the more reason.,",387,390.54,8,food_court,387,390,3
558,558,8,Q3_1.1,50,"Right, it’s policy. But what if they don't show up?,",470.68,478.88,10,resolution,470,478,8
575,575,8,Q3_1.1,54,"What if they don't? Would you make me stay here until I die of thirst and I'm rotting corpse on your nice bench.,",480.9,487.72,10,resolution,480,487,7
4,4,9,Q1_1.1,2,"Oh, my God. The shift won't end. Deborah never showed up. I can't reach Mr. Haney, so  I have to work all of it.,",2.3599999999999985,10.18,1,conversation_bf,2,10,8
21,21,9,Q1_1.1,3,"And there's a dog loose in the mall. Do you hear that?  Hold on, I’ll hold up the phone.,",10.64,14.94,1,dog,10,14,4
129,129,9,Q1_1.1,35,"Water. Of course, shopping can make you work up a thirst.,",110.62,113.28,3,food_court,110,113,3
136,136,9,Q1_1.1,38,"The food court? You mean that pile of-,",118.5,120.76,3,food_court,118,120,2
164,164,9,Q1_1.1,41,"they’re remodeling part of it.,",120.88,121.9,3,food_court,120,121,1
197,197,9,Q1_1.1,48,"Lucy, I don't mean to be contrary, but I have been to other locations of Bridal Innovations, and they have all had bottles of water and energy bars under the counter for customers.,",132.14,142.38,3,food_court,132,142,10
236,236,9,Q1_1.1,61,"Over past that rubble.,",169.6,170.66,3,food_court,169,170,1
261,261,9,Q1_1.1,65,"Shut up. Shut up, you fucking robot. Shut up, you fucking worthless corporate drone.",173.54,178.72,4,calls_robot,173,178,5
324,324,9,Q2_1.1,32,"You are so thin. I'm so jealous. You look like a runner. Are you a runner?,",261.82,267.24,5,steve_skinny,261,267,6
346,346,9,Q2_1.1,34,"Well past six years or so.,",267.82,270.7,5,steve_skinny,267,270,3
526,526,9,Q3_1.1,38,"Oh, my gosh. Thank you so much. Lucy, you're one of the good ones Lucy.,",436.82,446.26,9,resolution,436,446,10
576,576,9,Q3_1.1,54,"What if they don't? Would you make me stay here until I die of thirst and I'm rotting corpse on your nice bench.,",480.9,487.72,10,resolution,480,487,7
600,600,9,Q3_1.1,56,"It's so funny, I forgot to laugh. Weeks? No, people would notice if… it's not gonna be weeks. And I just gave you a water. Steve, how can you be thirsty?",487.72,497.06,10,resolution,487,497,10
22,22,10,Q1_1.1,3,"And there's a dog loose in the mall. Do you hear that?  Hold on, I’ll hold up the phone.,",10.64,14.94,1,dog,10,14,4
41,41,10,Q1_1.1,4,"Poor thing. He looks hungry. No, no. Dogs aren't allowed in  the mall unless it's a seeing eye dog.,",16.28,21.08,1,dog,16,21,5
56,56,10,Q1_1.1,5,"I called security, but they haven't. No, no. You're terrible.,",22.04,28.3,1,conversation_bf,22,28,6
69,69,10,Q1_1.1,6,"Oh, I cannot wait to watch the game with you tonight. No, I know we're gonna win. No, I know it. I can make us those Frito chili nachos you like. Yeah, I know you like that.,",29.44,41.38,1,conversation_bf,29,42,13
137,137,10,Q1_1.1,38,"The food court? You mean that pile of-,",118.5,120.76,3,food_court,118,120,2
213,213,10,Q1_1.1,53,"I am very thirsty and cranky.,",156.42,159.18,3,food_court,156,159,3
262,262,10,Q1_1.1,65,"Shut up. Shut up, you fucking robot. Shut up, you fucking worthless corporate drone.",173.54,178.72,4,calls_robot,173,178,5
293,293,10,Q2_1.1,5,"I’ve been to all these locations. So much stress. My blood sugar just. I'm sorry. I'm sorry, Lucy.,",192.88,202.28,5,steve_skinny,192,202,10
309,309,10,Q2_1.1,17,"The wedding dress is for me.,",228.9,231.96,5,steve_skinny,228,231,3
325,325,10,Q2_1.1,32,"You are so thin. I'm so jealous. You look like a runner. Are you a runner?,",261.82,267.24,5,steve_skinny,261,267,6
347,347,10,Q2_1.1,34,"Well past six years or so.,",267.82,270.7,5,steve_skinny,267,270,3
400,400,10,Q2_1.1,50,"I mean, it must be number one on the radio because that's all they play. Emergency.  They play it on a loop or something. I'm glad I like it or I would be miserable.,",306.52,316.52,6,emergency_song,306,316,10
577,577,10,Q3_1.1,54,"What if they don't? Would you make me stay here until I die of thirst and I'm rotting corpse on your nice bench.,",480.9,487.72,10,resolution,480,487,7
5,5,11,Q1_1.1,2,"Oh, my God. The shift won't end. Deborah never showed up. I can't reach Mr. Haney, so  I have to work all of it.,",2.3599999999999985,10.18,1,conversation_bf,2,10,8
23,23,11,Q1_1.1,3,"And there's a dog loose in the mall. Do you hear that?  Hold on, I’ll hold up the phone.,",10.64,14.94,1,dog,10,14,4
42,42,11,Q1_1.1,4,"Poor thing. He looks hungry. No, no. Dogs aren't allowed in  the mall unless it's a seeing eye dog.,",16.28,21.08,1,dog,16,21,5
263,263,11,Q1_1.1,65,"Shut up. Shut up, you fucking robot. Shut up, you fucking worthless corporate drone.",173.54,178.72,4,calls_robot,173,178,5
326,326,11,Q2_1.1,32,"You are so thin. I'm so jealous. You look like a runner. Are you a runner?,",261.82,267.24,5,steve_skinny,261,267,6
348,348,11,Q2_1.1,34,"Well past six years or so.,",267.82,270.7,5,steve_skinny,267,270,3
380,380,11,Q2_1.1,46,"Oh, you're so sweet. I love this song.,",298.92,304.94,6,emergency_song,298,304,6
401,401,11,Q2_1.1,50,"I mean, it must be number one on the radio because that's all they play. Emergency.  They play it on a loop or something. I'm glad I like it or I would be miserable.,",306.52,316.52,6,emergency_song,306,316,10
419,419,11,Q2_1.1,51,"Okay, I'll pull together some options for you, and I will be right back.,",317.98,321.34,,,317,321,4
469,469,11,Q3_1.1,6,"Jesus, you.,",364.16,364.4,8,attack,364,364,0
474,474,11,Q3_1.1,16,"No, I'm not being nice. It just looks bad for customers walking by to see a man sitting on the floor.,",379.64,384.82,8,attack,379,384,5
479,479,11,Q3_1.1,18,"Nobody's walking by.,",385.84,386.7,8,attack,385,386,1
294,294,12,Q2_1.1,5,"I’ve been to all these locations. So much stress. My blood sugar just. I'm sorry. I'm sorry, Lucy.,",192.88,202.28,5,steve_skinny,192,202,10
372,372,12,Q2_1.1,37,"So I'm going to recommend just a little lace in the shoulder and some structure around  the waist to enhance the hourglass effect. Not like a Civil War cotillion or anything, but just a little.,",273.48,282.68,5,steve_skinny,273,282,9
381,381,12,Q2_1.1,46,"Oh, you're so sweet. I love this song.,",298.92,304.94,6,emergency_song,298,304,6
387,387,12,Q2_1.1,48,"What song?,",305.76,306.24,6,emergency_song,305,306,1
402,402,12,Q2_1.1,50,"I mean, it must be number one on the radio because that's all they play. Emergency.  They play it on a loop or something. I'm glad I like it or I would be miserable.,",306.52,316.52,6,emergency_song,306,316,10
420,420,12,Q2_1.1,51,"Okay, I'll pull together some options for you, and I will be right back.,",317.98,321.34,,,317,321,4
448,448,12,Q2_1.1,58,"Oh, my gosh. He’s stealing the water.",357.46,358.74,8,attack,357,358,1
457,457,12,Q3_1.1,4,"You drank all the water. You have energy bars in your pants, they are falling out of you.,",362.3,366.74,8,attack,362,366,4
505,505,12,Q3_1.1,26,"It's just, I’m so thirsty. And all of this is...you don't get it.,",410.26,416.1,9,resolution,410,416,6
578,578,12,Q3_1.1,54,"What if they don't? Would you make me stay here until I die of thirst and I'm rotting corpse on your nice bench.,",480.9,487.72,10,resolution,480,487,7
601,601,12,Q3_1.1,56,"It's so funny, I forgot to laugh. Weeks? No, people would notice if… it's not gonna be weeks. And I just gave you a water. Steve, how can you be thirsty?",487.72,497.06,10,resolution,487,497,10
138,138,13,Q1_1.1,38,"The food court? You mean that pile of-,",118.5,120.76,3,food_court,118,120,2
198,198,13,Q1_1.1,48,"Lucy, I don't mean to be contrary, but I have been to other locations of Bridal Innovations, and they have all had bottles of water and energy bars under the counter for customers.,",132.14,142.38,3,food_court,132,142,10
264,264,13,Q1_1.1,65,"Shut up. Shut up, you fucking robot. Shut up, you fucking worthless corporate drone.",173.54,178.72,4,calls_robot,173,178,5
365,365,13,Q2_1.1,36,"Lift your arms up. You cut a very lean silhouette.,",270.74,273.38,5,steve_skinny,270,273,3
422,422,13,Q2_1.1,52,"Hello? Security. This is Lucy again in Bridal Innovations. There's a customer here.,",326.7,331.28,7,calls_security,326,331,5
471,471,13,Q3_1.1,10,"Okay, look, that's fine. That's fine. Look, I will just sit here and wait for security. I'll just sit right here on the floor.,",369.44,375.78,8,attack,369,375,6
579,579,13,Q3_1.1,54,"What if they don't? Would you make me stay here until I die of thirst and I'm rotting corpse on your nice bench.,",480.9,487.72,10,resolution,480,487,7
57,57,14,Q1_1.1,5,"I called security, but they haven't. No, no. You're terrible.,",22.04,28.3,1,conversation_bf,22,28,6
139,139,14,Q1_1.1,38,"The food court? You mean that pile of-,",118.5,120.76,3,food_court,118,120,2
165,165,14,Q1_1.1,41,"they’re remodeling part of it.,",120.88,121.9,3,food_court,120,121,1
237,237,14,Q1_1.1,61,"Over past that rubble.,",169.6,170.66,3,food_court,169,170,1
265,265,14,Q1_1.1,65,"Shut up. Shut up, you fucking robot. Shut up, you fucking worthless corporate drone.",173.54,178.72,4,calls_robot,173,178,5
376,376,14,Q2_1.1,41,"At your feet apart. Shoulder width.,",288.54,289.44,,,288,289,1
423,423,14,Q2_1.1,52,"Hello? Security. This is Lucy again in Bridal Innovations. There's a customer here.,",326.7,331.28,7,calls_security,326,331,5
527,527,14,Q3_1.1,38,"Oh, my gosh. Thank you so much. Lucy, you're one of the good ones Lucy.,",436.82,446.26,9,resolution,436,446,10
6,6,15,Q1_1.1,2,"Oh, my God. The shift won't end. Deborah never showed up. I can't reach Mr. Haney, so  I have to work all of it.,",2.3599999999999985,10.18,1,conversation_bf,2,10,8
24,24,15,Q1_1.1,3,"And there's a dog loose in the mall. Do you hear that?  Hold on, I’ll hold up the phone.,",10.64,14.94,1,dog,10,14,4
58,58,15,Q1_1.1,5,"I called security, but they haven't. No, no. You're terrible.,",22.04,28.3,1,conversation_bf,22,28,6
70,70,15,Q1_1.1,6,"Oh, I cannot wait to watch the game with you tonight. No, I know we're gonna win. No, I know it. I can make us those Frito chili nachos you like. Yeah, I know you like that.,",29.44,41.38,1,conversation_bf,29,43,14
99,99,15,Q1_1.1,24,"My daughter,",90.44,91.2,2,regular_convo,90,91,1
116,116,15,Q1_1.1,33,"Lucy, I would love some water.,",106.98,110.16,3,food_court,106,110,4
140,140,15,Q1_1.1,38,"The food court? You mean that pile of-,",118.5,120.76,3,food_court,118,120,2
266,266,15,Q1_1.1,65,"Shut up. Shut up, you fucking robot. Shut up, you fucking worthless corporate drone.",173.54,178.72,4,calls_robot,173,178,5
287,287,15,Q2_1.1,4,"No, I'm sorry. I'm sorry, Lucy. It's been a crazy day. Like you said, shopping for a wedding dress…,",184.6,192.16,,,184,192,8
327,327,15,Q2_1.1,32,"You are so thin. I'm so jealous. You look like a runner. Are you a runner?,",261.82,267.24,5,steve_skinny,261,267,6
349,349,15,Q2_1.1,34,"Well past six years or so.,",267.82,270.7,5,steve_skinny,267,270,3
403,403,15,Q2_1.1,50,"I mean, it must be number one on the radio because that's all they play. Emergency.  They play it on a loop or something. I'm glad I like it or I would be miserable.,",306.52,316.52,6,emergency_song,306,316,10
559,559,15,Q3_1.1,50,"Right, it’s policy. But what if they don't show up?,",470.68,478.88,10,resolution,470,478,8
141,141,16,Q1_1.1,38,"The food court? You mean that pile of-,",118.5,120.76,3,food_court,118,120,2
310,310,16,Q2_1.1,17,"The wedding dress is for me.,",228.9,231.96,5,steve_skinny,228,231,3
404,404,16,Q2_1.1,50,"I mean, it must be number one on the radio because that's all they play. Emergency.  They play it on a loop or something. I'm glad I like it or I would be miserable.,",306.52,316.52,6,emergency_song,306,316,10
458,458,16,Q3_1.1,4,"You drank all the water. You have energy bars in your pants, they are falling out of you.,",362.3,366.74,8,attack,362,366,4
475,475,16,Q3_1.1,16,"No, I'm not being nice. It just looks bad for customers walking by to see a man sitting on the floor.,",379.64,384.82,8,attack,379,384,5
580,580,16,Q3_1.1,54,"What if they don't? Would you make me stay here until I die of thirst and I'm rotting corpse on your nice bench.,",480.9,487.72,10,resolution,480,487,7
25,25,17,Q1_1.1,3,"And there's a dog loose in the mall. Do you hear that?  Hold on, I’ll hold up the phone.,",10.64,14.94,1,dog,10,14,4
107,107,17,Q1_1.1,28,"Yes, she's just. She is uh,",94.2,96.02,2,regular_convo,94,96,2
117,117,17,Q1_1.1,33,"Lucy, I would love some water.,",106.98,110.16,3,food_court,106,110,4
142,142,17,Q1_1.1,38,"The food court? You mean that pile of-,",118.5,120.76,3,food_court,118,120,2
199,199,17,Q1_1.1,48,"Lucy, I don't mean to be contrary, but I have been to other locations of Bridal Innovations, and they have all had bottles of water and energy bars under the counter for customers.,",132.14,142.38,3,food_court,132,142,10
214,214,17,Q1_1.1,53,"I am very thirsty and cranky.,",156.42,159.18,3,food_court,156,159,3
267,267,17,Q1_1.1,65,"Shut up. Shut up, you fucking robot. Shut up, you fucking worthless corporate drone.",173.54,178.72,4,calls_robot,173,178,5
