"node","_Intercept__estimate","_Intercept__p_value","listenL2_greater_estimate","listenL2_greater_p_value"
"1",0.0718068166983401,0.00622475439459386,0.0124268530431445,0.610373374720171
"2",0.190069871733122,0.15037149687417,-0.0155332782119449,0.708474445829019
"3",0.0605660307321903,0.357730430799939,0.0322792134121981,0.231790660285643
"4",0.111347505039341,0.0159248028310934,-0.00151039209345619,0.967220052525276
"5",0.0706050768646847,0.156162788644192,-0.00398974224410788,0.913660753054298
"6",0.0333641917538788,0.5986266274959,0.0241997851742045,0.510378558282483
"7",0.0834543864984038,0.159474463507328,-0.00762509145302896,0.799929870742957
"8",0.0858541288768784,0.0390055004448842,0.00688914956699884,0.821872946091898
"9",0.0189662810877692,0.668033827964587,0.0282038558179828,0.446182567386805
"10",0.0948639860022233,0.0412515562363425,0.0202173179522435,0.469434613287994
"11",0.00168464091002058,0.955007381771311,0.0415547913840871,0.112277820462864
"12",0.0328674723317685,0.402672484222518,0.0586186413017859,0.0725335097889883
"13",-0.0150035508016677,0.891919850547439,0.0105777950430308,0.757487667107837
"14",-0.00752527805555069,0.825007241184746,0.0533457200059214,0.118567828941765
"15",-0.0142828842705262,0.726757405071647,0.0525488616291225,0.126831242200833
"16",0.120326731476399,0.00353227066307121,-0.00355679386466183,0.916383297372646
"17",-0.0205670401616256,0.608198876739754,-0.00371838646415951,0.920176288007282
"18",-0.00452220253188137,0.909700941841657,0.017830321735388,0.612136316942648
"19",-0.0431821248219108,0.324971256043383,0.0158316611208765,0.701921080226988
"20",0.0111421296822657,0.837233386703743,0.0478794906782261,0.212846875682327
"21",-0.0607260200442692,0.335215570649198,0.0699853785812084,0.0403397998143106
"22",0.0733307963485856,0.0265403088033075,0.0287225511562795,0.381433317879034
"23",0.0523562738799625,0.116861249071351,0.0336538306081328,0.236114439318574
"24",0.0766950867210809,0.108019118404107,0.0832457566372065,0.0289822747196098
"25",0.000293093596013447,0.995468902929714,0.000518499614300265,0.984002272567359
"26",0.0175050967378671,0.675828068938937,0.0547388942570371,0.0807893306440435
"27",0.0130757693334149,0.869617685199344,0.0389810315017436,0.189019340220207
"28",0.0107630526398561,0.89943686397511,0.0438830368180605,0.266674299546172
"29",0.061506925171069,0.101559381544061,0.0495279808546397,0.101648254300584
"30",-0.0270249516055062,0.525956377435437,0.0400159085172509,0.348113587784939
"31",0.0118800574064484,0.864781741246353,0.0339144000469711,0.222836187248691
"32",-0.00483524878845427,0.924019403577625,-0.0100870068582174,0.602599272717755
"33",0.0182874531011073,0.801317925630104,0.00653381288153148,0.839549631106544
"34",0.0442087880863363,0.268513605561093,0.011249999117562,0.756437950387316
"35",0.0693812682493735,0.0934869388786189,0.00570891637364675,0.86635006599623
"36",-0.00168871399865665,0.986320497630457,-0.0256810570105037,0.519181556928757
"37",0.0412308379464309,0.741246315369473,-0.0374860950655428,0.307819714583868
"38",0.122744496876924,0.273021851052125,-0.00897835216265436,0.692307404216981
"39",0.155951726291434,0.247504721595304,-0.0156835416782379,0.616894569156069
"40",0.257187278755754,0.106268601980467,0.0122861061452622,0.708349445416697
"41",0.12287817358,0.266208898048401,0.0319349337391241,0.268878982618907
"42",0.0407096335099446,0.197848092377991,0.00188528296806186,0.952307776347611
"43",0.068888773965316,0.364514657202982,0.0291129452541671,0.341278220773262
"44",0.0110047443040217,0.889040149429354,0.0261926758079526,0.463891714622241
"45",0.04519677842157,0.522505158329469,0.0181705015583174,0.52388442512857
"46",0.050021245771537,0.554662084933588,0.0364543945094176,0.304406854115569
"47",0.104568662117277,0.00506844499948282,0.0255637435810986,0.461453022686967
"48",0.0822423667275142,0.237284058944859,0.0591479715642097,0.0633696954244227
"49",-0.00823178367018991,0.854609776628577,0.0379228189061421,0.350795478546205
"50",-0.0141685177046611,0.907129308145526,0.0217871630999768,0.533044906992119
"51",0.0977112580855711,0.00377216856670683,-0.00792813611577791,0.763236979403291
"52",0.133150319011319,0.308439935443769,-0.00215388864126029,0.957664188856367
"53",0.0417108601143102,0.307261776664587,0.0528137080073617,0.128829376330842
"54",0.0567546491071345,0.188117887622559,0.0306994988115345,0.396568770843584
"55",0.0274453896908052,0.550315236590422,-0.00544297871984315,0.877324989149109
"56",0.0804698944439585,0.35864981421461,0.0434736485685164,0.21444425354626
"57",0.0451699386014673,0.272251967324465,0.00598877213863047,0.869308091415172
"58",0.0358058680953436,0.382763413871842,0.0522243726706099,0.14057369244341
"59",0.045748810229035,0.181689635319746,0.018574370397992,0.486466399487708
"60",-0.0205756586738975,0.618372819443018,0.0240576446925274,0.420717755711629
"61",-0.0340480438809083,0.371932402440221,0.0280486511052678,0.461811769494137
"62",-0.0193566894021875,0.80594720463074,0.0229994925933832,0.511780564365217
"63",-0.0174162162264163,0.690315563192423,-0.00365657438592612,0.919886279916008
"64",-0.0737704965256056,0.0388785667981328,0.0233754593921118,0.509937139871414
"65",-0.0176689063797063,0.646228715705925,0.0549131585411287,0.148014536874278
"66",-0.0929295800142608,0.248958461465879,0.0593269332278126,0.0994113988417201
"67",0.0714818920312531,0.273049743710059,0.0582542331656246,0.0398131031446097
"68",-0.0449561693285217,0.163121217112154,0.0366148524421055,0.255457550996442
"69",0.00568547612086812,0.897065634259049,0.00295605139371265,0.93387479291967
"70",0.00357056233543853,0.95998372499047,0.0530820088650865,0.147659507625662
"71",-0.0593698591909348,0.401573153216756,0.0764987070015308,0.0281749731942926
"72",0.0263345859494183,0.479921806660713,0.0238118671629156,0.440613477801869
"73",-0.0126605349454906,0.859421984999936,0.0294522462013665,0.413177544852394
"74",0.190103068508359,0.264038343314367,0.0463189482275805,0.237229063203176
"75",-0.0116091484181052,0.755351237902331,0.0383496767783748,0.304152891782761
"76",0.0144441795333624,0.754769960109779,0.0469056972101141,0.109923878357492
"77",-0.0256550272869199,0.467423582290182,0.0177138097598534,0.564892740462332
"78",-0.0245681250401043,0.663433169652117,0.0176396616089809,0.6366753072109
"79",0.0146859422204659,0.798277400501255,0.038284663557583,0.185665631838565
"80",0.00145311647512387,0.98168488039293,0.0268023588600222,0.13658827165027
"81",0.0444190587511965,0.311415147041966,0.0621179852761584,0.0602629750732084
"82",0.082609874129224,0.445532649162714,0.0240203147191084,0.498898960967453
"83",0.0401866257820713,0.475189676871918,0.0344966919669747,0.183378681566502
"84",0.0600556212051877,0.140675129194124,0.0133927866146477,0.68669629269727
"85",0.0146573134397607,0.884124665698589,0.040950117452363,0.202315125776475
"86",0.0448930080131608,0.718463657075559,0.0166545068092036,0.63491619499075
"87",0.0117048645712456,0.919522480676674,-0.00890937818475203,0.778065255282047
"88",0.022207573301805,0.830789252376582,0.0310290778916676,0.435248739707684
"89",0.00508075894563489,0.970057752703718,0.0094094648650133,0.777102191268316
"90",0.0912169674629922,0.533450945274124,0.0390995669771247,0.250739900009081
"91",0.0163676678302728,0.851553505064835,0.0423906528391078,0.08364610472125
"92",0.092361403738984,0.363223832308061,0.0117454681237824,0.645451535921138
"93",0.176757036975642,0.000202496837120072,-0.00952247681455788,0.810032806645929
"94",0.000525263410177034,0.98602816375893,0.017009026269828,0.542917957433324
"95",0.0543209237052048,0.545615155539975,0.0157149927516759,0.682763033538041
"96",-0.0137621320585077,0.817196755527356,0.0157393814435896,0.6160668078569
"97",0.0381798156518702,0.644759802781581,0.0379035977482165,0.195077728064793
"98",0.0419620576960309,0.68439582993645,0.0785379572090568,0.01437279643064
"99",0.0289065060683761,0.497699525452576,0.0513571192241396,0.18104942605514
"100",0.00155461446671504,0.986138371427725,0.0559948455807494,0.0971316007198341
"hippocampus_L",0.00490724456523481,0.90090794533974,0.00600787083995569,0.842773407370614
"hippocampus_R",-0.0108173376438824,0.706108473261915,-0.00255505445226255,0.925431095925868
